color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Becoming Jane,2007,PG,10 Aug 2007,120 min,"Biography, Drama, Romance",Julian Jarrold,"Jane Austen, Kevin Hood, Sarah Williams","Anne Hathaway, James McAvoy, Julie Walters","The year is 1795 and young Jane Austen (Anne Hathaway) is a feisty twenty-year-old and emerging writer who already sees a world beyond class and commerce, beyond pride and prejudice, and dreams of doing what was then nearly unthinkable, marrying for love. Naturally, her parents are searching for a wealthy, well-appointed husband to assure their daughter's future social standing. They are eyeing Mr. Wisley (Laurence Fox), nephew to the very formidable, not to mention very rich, local aristocrat Lady Gresham (Dame Maggie Smith), as a prospective match. But when Jane meets the roguish and decidedly non-aristocratic Tom Lefroy (James McAvoy), sparks soon fly along with the sharp repartee. His intellect and arrogance raise her ire, then knock her head over heels. Now, the couple, whose flirtation flies in the face of the sense and sensibility of the age, is faced with a terrible dilemma. If they attempt to marry, they will risk everything that matters - family, friends, and fortune.",English,"United Kingdom, Ireland",3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTIzMjQyMDMxM15BMl5BanBnXkFtZTcwMjAwOTM1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.0,"62,968",tt0416508,movie,12 Feb 2008,"$18,670,946",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sydney White,2007,PG-13,21 Sep 2007,108 min,"Comedy, Drama, Romance",Joe Nussbaum,Chad Gomez Creasey,"Amanda Bynes, Sara Paxton, Matt Long","This modern retelling of the classic fairytale follows a beautiful college freshman as she pledges her late mother's once dignified sorority. But after discovering that today's sisterhood is not what it used to be, Sydney finds her new home away from home with seven outcasts. With the help of her socially challenged new friends, Sydney will take on the reigning campus queen to attempt to transform the school's misguided social hierarchy.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk3ODc3ODAxN15BMl5BanBnXkFtZTcwNzcwMDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.1,"49,414",tt0815244,movie,22 Jan 2008,"$11,892,415",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,House of Sand and Fog,2003,R,09 Jan 2004,126 min,"Crime, Drama",Vadim Perelman,"Andre Dubus III, Vadim Perelman, Shawn Lawrence Otto","Jennifer Connelly, Ben Kingsley, Ron Eldard","An emotionally broken woman, Kathy, suddenly finds herself homeless after her house is wrongly repossessed and auctioned. Seeking respite from his marriage, Lester, a sympathetic sheriff's deputy comes to the aid of Kathy and becomes intimately involved in her situation. Soon, Behrani, a proud emigrant Iranian and his family move into the house only to find their new lives burdened by harassment from Lester and Kathy as they attempt to reclaim her former home. The once prosperous colonel denies Kathy's pleas for he knows his recent purchase promises a profitable return and a better future for his adolescent son and his wife. But latent consequences lie beneath Behrani's well intentioned plan as Kathy's emotions spiral out of control and her actions spark a tragic chain of events that will leave no resident unscathed in the House of Sand and Fog.","English, Persian",United States,Nominated for 3 Oscars. 13 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzMjQ5NzM2M15BMl5BanBnXkFtZTYwMzU2NDY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.5,"69,918",tt0315983,movie,30 Mar 2004,"$13,040,288",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead Poets Society,1989,PG,09 Jun 1989,128 min,"Comedy, Drama",Peter Weir,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His roommate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each does so in his own way, and is changed for life.","English, Latin",United States,Won 1 Oscar. 20 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.1,"500,826",tt0097165,movie,01 Jul 2003,"$95,860,116",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dumb and Dumber,1994,PG-13,16 Dec 1994,107 min,Comedy,"Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bennett Yellin, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly","Harry and Lloyd are two good friends who happen to be really stupid. The duo set out on a cross country trip from Providence to Aspen, Colorado to return a briefcase full of money to its rightful owner, a beautiful woman named Mary Swanson. After a trip of one mishap after another, the duo eventually make it to Aspen. But the two soon realize that Mary and her briefcase are the least of their problems.","English, Swedish, German",United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,7.3,"392,282",tt0109686,movie,02 Oct 2001,"$127,190,327",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,When Harry Met Sally...,1989,R,21 Jul 1989,95 min,"Comedy, Drama, Romance",Rob Reiner,Nora Ephron,"Billy Crystal, Meg Ryan, Carrie Fisher","Harry and Sally meet when she gives him a ride to New York after they both graduate from the University of Chicago. The film jumps through their lives as they both search for love, but fail, bumping into each other time and time again. Finally a close friendship blooms between them, and they both like having a friend of the opposite sex. But then they are confronted with the problem: ""Can a man and a woman be friends, without sex getting in the way?""",English,United States,Nominated for 1 Oscar. 5 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.7,"226,796",tt0098635,movie,09 Jan 2001,"$93,117,425",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Verdict,1982,R,17 Dec 1982,129 min,Drama,Sidney Lumet,"Barry Reed, David Mamet, Jay Presson Allen","Paul Newman, Charlotte Rampling, Jack Warden","Frank Galvin was once a promising Boston lawyer with a bright future ahead. An incident early in his career in which he was trying to do the right thing led to him being fired from the prestigious law firm with which he was working, almost being disbarred, and his wife leaving him. Continually drowning his sorrows in booze, he is now an ambulance-chasing lawyer, preying on the weak and vulnerable, and bending the truth whenever necessary to make what few dollars he has, as he has only had a few cases in the last few years, losing the last four. His only friend in the profession is his now retired ex-partner, Mickey Morrissey, who gets Frank a case, his fee solely a percentage of what his clients are awarded. The case should net Frank tens of thousands of dollars by settling out of court, that money which would at least get him back on his feet. It is a negligence suit brought on behalf of Deborah Ann Kaye by her sister and brother-in-law, Sally and Kevin Doneghy, against St. Catherine Labouré Hospital, operated by the Archdiocese of Boston, and Drs. Towler and Marks. Kaye was admitted to the hospital for what should have been a routine delivery, but something that happened while Kaye was on the operating room table led to her brain being deprived of oxygen, resulting in permanent brain damage, and Kaye now being in a totally vegetative state requiring hospitalization for the rest of her life. Frank eventually learns that the cause seems to be that Dr. Towler, the anesthesiologist and an expert in the field, used the incorrect anesthetic for the situation. However, all but one person that was in the operating room that day has provided depositions that nothing improper occurred in the operating room. The one holdout is the operating room head nurse, Maureen Rooney, who is not talking, period, to Frank or the other side. Upon seeing the state Kaye is in, Frank unilaterally decides to do what he believes is the right thing by declining the lucrative out-of-court settlement offered by the Archdiocese and take the case to court. In doing so, he hopes the truth that the hospital and the doctors truly were negligent comes to light. Feeling that this case may be a turning point in his life, Frank has a new spring in his step, enough that he attracts the attention of Laura Fischer, the two who begin a relationship. Despite having whatever the truth is on his side, that truth which he does not know, and having an expert witness of his own, Frank has an uphill battle in that the Archdiocese has retained the services of Ed Concannon, a high-priced lawyer who has a large team of associates whose task is to help Concannon and the Archdiocese win at any cost. Concannon's task seems even easier as Judge Hoyle, the presiding judge, is already biased against Frank for taking the case to court.",English,United States,Nominated for 5 Oscars. 3 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNTFkYTk4MDktMjkwYS00ZmQzLTkzYzItODgyMjZhY2E2ZGI2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.7,"42,209",tt0084855,movie,11 May 2004,"$53,977,250",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Trip,2000,R,19 May 2000,93 min,Comedy,Todd Phillips,"Todd Phillips, Scot Armstrong","Breckin Meyer, Seann William Scott, Amy Smart","Josh and Tiffany have been together since they were kids. ENTER Beth, a sexy blonde going to college with Josh. One night, Josh and Beth hook up and make a videotape the same day that Josh plans to mail a video to Tiffany of him talking about college life. The wrong tape gets sent, forcing Josh, along with a few pals, to go to Austin, where Tiffany is, and stop her from seeing the tape. Full of laughs, you'll be sure to enjoy Road Trip.",English,United States,4 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BODA4ZGRhZjgtMTYwMy00MDQzLTkxNTUtYTYwZjE5NDRiZTRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"172,576",tt0215129,movie,19 Dec 2000,"$68,540,777",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Varsity Blues,1999,R,15 Jan 1999,106 min,"Comedy, Drama, Romance",Brian Robbins,W. Peter Iliff,"James Van Der Beek, Jon Voight, Paul Walker","In small-town Texas, high school football is a religion. The head coach is deified, as long as the team is winning and 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. In his 30th year as head coach, Bud Kilmer (Jon Voight) is trying to lead his West Canaan Coyotes to their 23rd division title. When star quarterback Lance Harbor (Paul Walker) suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon (James Van Der Beek), a second-string quarterback with a slightly irreverent approach to the game. ""Varsity Blues"" explores our obsession with sports and how teenage athletes respond to the extraordinary pressures places on them.",English,United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZGVlYjRmYTUtNTRiYS00ODNmLThlNDQtNzc3OWJmYTlkMzM0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.5,"47,152",tt0139699,movie,04 Sep 2007,"$52,894,169",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Artist,2011,PG-13,20 Jan 2012,100 min,"Comedy, Drama, Romance",Michel Hazanavicius,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman","Outside a movie premiere, enthusiastic fan Peppy Miller literally bumps into the swashbuckling hero of the silent film, George Valentin. The star reacts graciously and Peppy plants a kiss on his cheek as they are surrounded by photographers. The headlines demand: ""Who's That Girl?"" and Peppy is inspired to audition for a dancing bit-part at the studio. However as Peppy slowly rises through the industry, the introduction of talking-pictures turns Valentin's world upside-down.","English, French","France, Belgium, United States",Won 5 Oscars. 162 wins & 204 nominations total,https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.9,"244,022",tt1655442,movie,24 Apr 2012,"$44,671,682",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Unborn,2009,PG-13,09 Jan 2009,88 min,"Horror, Mystery, Thriller",David S. Goyer,David S. Goyer,"Odette Annable, Gary Oldman, Cam Gigandet","While babysitting a boy and his infant brother, Casey Beldon has a dreadful nightmare involving a weird dog and an evil child, and she tells her best friend Romy over the phone. Casey is haunted by this boy, and when she goes to the ophthalmologist, he asks if she has a twin brother or sister. She asks her father and discovers that her mother lost a son that died in the womb. Casey suspects that she is haunted by the spirit of her brother. She finds a letter addressed to a woman called Sofi Kozma and a creepy picture at home that belonged to her mother. She goes with Romy to a retirement home to meet Sofi, a survivor of the experiments during the Holocaust. But Sofi tells Casey that she had never met her mother and later calls Casey to tell her she is in great danger.","English, Hebrew",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BOTM5NDY1MTk2Nl5BMl5BanBnXkFtZTcwNTMyNjkxMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,4.7,"52,296",tt1139668,movie,07 Sep 2010,"$42,670,410",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moonrise Kingdom,2012,PG-13,29 Jun 2012,94 min,"Comedy, Drama, Family",Wes Anderson,"Wes Anderson, Roman Coppola","Jared Gilman, Kara Hayward, Bruce Willis","Set on an island off the coast of New England in the 1960s, as a young boy and girl fall in love they are moved to run away together. Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing.",English,United States,Nominated for 1 Oscar. 36 wins & 122 nominations total,https://m.media-amazon.com/images/M/MV5BYTNjNjRhNjMtYTQyOS00MGIxLWJmZjktNGUxY2M2YTc4ZDYwXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.8,"354,808",tt1748122,movie,16 Oct 2012,"$45,512,466",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Texas Chainsaw Massacre: The Beginning,2006,R,06 Oct 2006,91 min,"Horror, Thriller",Jonathan Liebesman,"Sheldon Turner, David J. Schow","Jordana Brewster, Matt Bomer, Diora Baird","In August, 1939, a worker goes into labor while working in a slaughterhouse and dies after a complicated labor, though the deformed child survives. The possibly orphaned baby is dumped in a garbage container and found by a beggar later, who brings him home. Along the years, the mentally retarded and disturbed boy called Thomas is raised by the Hewitt family in spite of having psychological problems as well as suffering from an unnamed skin disorder, later working in a meat packing plant. In July, 1969, when the facility is closed, the inhabitants move to other places, but the deformed, mentally childlike Thomas flies into a rage after being insulted and kills the foreman. His deranged brother (considered his uncle due to their age difference) executes the sheriff that is going to arrest Thomas, and assumes his identity, wearing his clothes,driving his car though the roads in Texas and entitling himself as Sheriff Hoyt. Meanwhile, the brothers Eric and Dean are traveling in a Jeep with their girlfriends Christie and Bailey, Eric to serve in Vietnam and Dean escaping to Mexico. When the group has a car accident, Hoyt arrests Eric, Dean and Bailey and brings them to his house. Christie follows them trying to rescue the trio, trapped in the house of sadistic and insane cannibals, in a trip of horror and gore.",English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMTIwMzAxNDcyMl5BMl5BanBnXkFtZTYwMjMwMDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.8,"74,502",tt0420294,movie,16 Jan 2007,"$39,517,763",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Young Messiah,2016,PG-13,11 Mar 2016,111 min,"Drama, Fantasy",Cyrus Nowrasteh,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice","Adam Greaves-Neal, Vincent Walsh, Sara Lazzaro","At the age of 7, Jesus Bar-Joseph lives with his family in Alexandria, Egypt, where they have fled to avoid a massacre of children by King Herod of Israel. Jesus knows that his parents Joseph and Mary have secrets they are keeping from him, secrets about his birth and about traits that make him very different from other boys. His parents, however, believe him too young to grasp the truth of his miraculous birth and purpose. Learning that the murderous Herod is dead, they set out to return to their home of Nazareth in Israel, unaware that Herod's namesake son is, like his father, determined to see the boy Jesus dead.",English,"United States, South Korea",3 wins,https://m.media-amazon.com/images/M/MV5BMTU4NzM3NzczMF5BMl5BanBnXkFtZTgwMzM0NjkwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.7,"3,729",tt1002563,movie,14 Jun 2016,"$6,490,401",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Master of Disguise,2002,PG,02 Aug 2002,80 min,"Adventure, Comedy, Family",Perry Andelin Blake,"Dana Carvey, Harris Goldberg","Dana Carvey, Jennifer Esposito, Harold Gould","A sweet-natured Italian waiter named Pistachio Disguisey at his father Fabbrizio's restaurant, who happens to be a member of a family with supernatural skills of disguise. But moments later the patriarch of the Disguisey family is kidnapped Fabbrizio's former arch-enemy, Devlin Bowman, a criminal mastermind in an attempt to steal the world's most precious treasures from around the world. And it's up to Pistachio to track down Bowman and save his family before Bowman kills them!",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BODYzNjdmZTgtNzkyZS00NWJjLTlkOGQtZmEzZTI3ZTg2MzNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '1%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",12,3.3,"25,894",tt0295427,movie,28 Jan 2003,"$40,388,794",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pan's Labyrinth,2006,R,19 Jan 2007,118 min,"Drama, Fantasy, War",Guillermo del Toro,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López","In 1944 Falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the true princess and will never see her real father, the king, again.",Spanish,"Mexico, Spain",Won 3 Oscars. 109 wins & 115 nominations total,https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",98,8.2,"676,788",tt0457430,movie,15 May 2007,"$37,646,380",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Messengers,2015,TV-14,17 Apr 2015,3 min,"Drama, Fantasy, Mystery",N/A,Eoghan O'Donnell,"Shantel VanSanten, Diogo Morgado, JD Pardo","In the New Mexico desert, scientist, Vera Ivanov (Shantel VanSanten) watches in as a mysterious object falls to Earth. It explodes, and sends out a shockwave which briefly stops her heart. But Vera isn't the only one affected: she's instantly connected to 4 others, all of whom had also collapsed, only to come back to life hours later. A mysterious figure - known only as ""the man"" (Diogo Morgado) comes and offers Vera the chance to be reunited with her kidnapped son, if she helps him with one complicated task. Now, this group might be the only hope for preventing the impending end of civilisation... or causing it.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNWRhMTZjMTUtMzk3Yi00Yjg0LTlkZDEtMWMyODhkYTAyMjQyXkEyXkFqcGdeQXVyMTUwNjg3NTUw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"9,170",tt3513704,series,,,,,True,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,See Spot Run,2001,PG,02 Mar 2001,94 min,"Action, Comedy, Crime",John Whitesell,"George Gallo, Gregory Poirier, Dan Baron","David Arquette, Michael Clarke Duncan, Leslie Bibb","A drug sniffing agent canine is a target for an assassin boss so the FBI calls Witness Protection to send him somewhere else. Meanwhile a single Mom puts her 6 year old boy James in the care of her irresponsible, mailman, neighbor, Gordon, when the babysitter bails on her. Meanwhile, an assassin mob boss hires 2 goons to kill Agent 11. But when 11 escapes from the van when they tried to kill him, he hides in Gordon's Mailtruck that James is in too. And guess what they name him. Spot.","English, American Sign ","United States, Australia, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMTIwNjg4MTk1NF5BMl5BanBnXkFtZTYwMjE4Nzc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,5.3,"9,457",tt0250720,movie,16 May 2006,"$33,357,476",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baby Boy,2001,R,27 Jun 2001,130 min,"Crime, Drama, Romance",John Singleton,John Singleton,"Alexsandra Wright, Tyrese Gibson, Taraji P. Henson","This is the story of Jody, an unemployed young black man, who's been living with his mother for several years, even though he's got a child of his own. Romantically, he's having relationships with two women: Yvette, the mother of his son, and a new interest.",English,United States,1 win & 14 nominations,https://m.media-amazon.com/images/M/MV5BOTc4MTJmMzYtYTg4Yy00YTE3LWI5MGQtYTcxYWU2MmIxY2U3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.4,"15,497",tt0255819,movie,06 Nov 2001,"$28,734,552",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Roommate,2011,PG-13,04 Feb 2011,91 min,"Drama, Horror, Thriller",Christian E. Christiansen,Sonny Mallhi,"Minka Kelly, Leighton Meester, Cam Gigandet","Fresh from Des Moines, Iowa, Sara Matthews has just landed in Los Angeles as a college freshman studying fashion design. She meets handsome Stephen, party-lover Tracy, and roommate Rebecca. Rebecca is nice, sweet and ready to share everything with Sara. It could be the beginning of a beautiful friendship. But Tracy is convinced that there's something seriously wrong with Rebecca and bad things start happening to everyone close to Sara. If Sara is to have a normal college experience, she's going to have to get to the bottom of what's up with Rebecca and quickly get out of her clutches.",English,United States,7 nominations,https://m.media-amazon.com/images/M/MV5BZGM0ZTEwOWEtODM5ZS00OGQzLTg5N2YtNzA0OGU0ZTQ5YTY1XkEyXkFqcGdeQXVyMTA5NTExNDAw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,4.8,"39,790",tt1265990,movie,17 May 2011,"$37,300,000",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Dirt,2001,PG-13,11 Apr 2001,91 min,"Adventure, Comedy, Drama",Dennie Gordon,"David Spade, Fred Wolf","David Spade, Brittany Daniel, Dennis Miller","Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks. As his wandering, misguided search takes him from one hilarious misadventure to another, Joe finds his way to Los Angeles, where a shock-jock brings Joe on his radio show to insult him. But as Joe's life story unfolds, jeers turn to cheers, and an entire captivated city tunes in to hear the adventures of Joe Dirt.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTE5NDgxNzU1MV5BMl5BanBnXkFtZTYwODQ4ODE3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '20/100'}]",20,6.0,"58,310",tt0245686,movie,29 Nov 2005,"$27,087,695",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double Impact,1991,R,09 Aug 1991,110 min,"Action, Crime",Sheldon Lettich,"Sheldon Lettich, Jean-Claude Van Damme, Steve Meerson","Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.","English, Cantonese, French",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNjcyYjg2OGMtOTJiYS00ZjE4LThkZjEtMDEyNmRkMDNhYzliXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.6,"41,985",tt0101764,movie,06 Feb 2001,"$30,102,717",N/A,N/A,True,,,,
