color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redemption Road,2010,PG-13,17 Apr 2010,95 min,Drama,Mario Van Peebles,"Morgan Simpson, George Richards","Tom Skerritt, Taryn Manning, Michael Clarke Duncan","Two seemingly different men embark on a music-steeped journey through the American South, learning along the way that life isn't about where you end up - it's how you get there that matters. Somewhere between Austin, TX and Huntsville, AL the two men become unlikely friends. However, every road has an end. In Huntsville, sad truths come to light, with heartbreak and violence lingering in their wake, ultimately leaving both men changed forever.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjA0MjE1Njc1Nl5BMl5BanBnXkFtZTcwNDY2MzkwNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.7,571,tt1470020,movie,03 Apr 2012,"$29,384",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Calling,2014,R,05 Aug 2014,108 min,"Drama, Thriller",Jason Stone,"Scott Abramovitch, Michael Redhill","Susan Sarandon, Gil Bellows, Ellen Burstyn","Hazel Micallef is the senior officer in the Fort Dundas, Ontario Police Department. Once having tried to commit suicide and a resulting chronic back injury are the reasons she will never be promoted, the position of Commanding Officer, of which she is acting, having been vacant for some time. Hazel self-medicates to dull the emotional and physical pain. Relatively young and inexperienced but enthusiastic Ben Wingate transferring from the Toronto Police Department to join her and the only other detective, Ray Green, coincides with the first homicide in Fort Dundas in four years, the victim aged Delia Chandler, a friend of Hazel's mother, retired judge Emily Micallef with who single Hazel lives. Delia's throat was slit, but the coroner is able to determine that the murderer posed Delia's mouth post-mortem, with the time for rigor mortis to set in meaning that he/she had to hold the mouth in place for upwards of an hour. With two subsequent murders in nearby communities with similar oral contortions leads to Hazel believing they are dealing with a serial killer who did not want to be caught, the reason for committing the murders in different jurisdictions. Ben is able to discover that there have been similar murders across the country. With some emerging evidence, Hazel consults Catholic priest Father Price, further leading to the thought that the killer is working on a ritualistic religious mission with more victims to come. With Hazel's own history and situation, it becomes a personal matter between her and the killer, arguably more for the killer than for Hazel herself.","English, Latin","United States, Canada, United Kingdom",4 nominations,https://m.media-amazon.com/images/M/MV5BMTk3MjUzNzk4OV5BMl5BanBnXkFtZTgwMDM2ODAzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.8,"8,747",tt1666335,movie,23 Sep 2014,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasia,1940,G,19 Sep 1941,124 min,"Animation, Family, Fantasy","James Algar, Samuel Armstrong, Ford Beebe Jr.","Joe Grant, Dick Huemer, Lee Blair","Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra","Disney animators set pictures to Western classical music as Leopold Stokowski conducts the Philadelphia Orchestra. ""The Sorcerer's Apprentice"" features Mickey Mouse as an aspiring magician who oversteps his limits. ""The Rite of Spring"" tells the story of evolution, from single-celled animals to the death of the dinosaurs. ""Dance of the Hours"" is a comic ballet performed by ostriches, hippos, elephants, and alligators. ""Night on Bald Mountain"" and ""Ave Maria"" set the forces of darkness and light against each other as a devilish revel is interrupted by the coming of a new day.",English,United States,8 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjAxMTI1Njk3OF5BMl5BanBnXkFtZTgwNjkzODk4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.7,"98,971",tt0032455,movie,20 Feb 2007,"$76,408,097",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Days,2014,PG-13,N/A,90 min,"Drama, Thriller",Jaco Booyens,"Philipa A. Booyens, Ferdinand Gernandt","Nicole Smolen, Sebastian Aguilar, Cameron Allsup","After sneaking to a party with her friends, 16-year-old Amber Stevens goes missing. Forced into the world of sex trafficking, her family and community fight to get her back. Inspired by actual events.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGE3ZjY0NGItZmU2Yy00MTI0LWI1ZWYtNzNlZWUyMjhiNzBhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,325,tt3111864,movie,28 Sep 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday the 13th Part III,1982,R,13 Aug 1982,95 min,"Horror, Thriller",Steve Miner,"Martin Kitrosser, Carol Watson, Victor Miller","Dana Kimmell, Tracie Savage, Richard Brooker","Jason Voorhees, having barely survived a wound to his shoulder from his own machete, is back to revenge on all that visit ""his"" woods. A new group of friends come over to party at an area close to the campsite. This time, Jason will be stronger than ever, and getting a hockey mask from one of those friends.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BZjRiMTdlY2QtZGE3YS00YjQzLTk5MmUtNjVjMjUzYWRiMWNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.6,"55,758",tt0083972,movie,03 Feb 2009,"$36,690,067",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday the 13th: A New Beginning,1985,R,22 Mar 1985,92 min,"Horror, Mystery, Thriller",Danny Steinmann,"Martin Kitrosser, David Cohen, Danny Steinmann","Melanie Kinnaman, John Shepherd, Anthony Barrile","Five years after killing the goalie hockey-masked killer Jason Voorhees, Tommy Jarvis has grown up in various mental hospitals unable to get over the nightmares about Jason's return. When Tommy is sent to a rural halfway house in New Jersey for mentally disturbed teenagers, a series of grisly murders begin anew as another hockey-masked killer begins killing off all people at and around the residence. Has Jason returned from the dead to re-start his killing spree? Has Tommy decided to take over the reign of Jason, or has someone else?",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BZTIyOWI5YzEtMWZjZS00MGJmLWJmMzQtOTY1ZjU1YmI3OTVkXkEyXkFqcGdeQXVyMzc1MTc0Mzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '16/100'}]",16,4.7,"40,408",tt0089173,movie,16 Jun 2009,"$21,930,418",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do You Believe?,2015,PG-13,20 Mar 2015,120 min,Drama,Jon Gunn,"Chuck Konzelman, Cary Solomon","Mira Sorvino, Sean Astin, Alexa PenaVega","A dozen different souls, all moving in different directions, all longing for something more. As their lives unexpectedly intersect, they each are about to discover there is power in the Cross of Christ, even if they don't yet believe it. When a local pastor is shaken to the core by the visible faith of an old street corner preacher, he is reminded that true belief always requires action. His response ignites a faith-fueled journey that powerfully impacts everyone it touches in ways that only God could orchestrate. More than a movie, it's a question we all must answer in our lifetimes: DO YOU BELIEVE?",English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjE5MzAxMjUyMl5BMl5BanBnXkFtZTgwNDk1OTMwNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,6.0,"7,937",tt4056738,movie,04 Aug 2015,"$12,985,600",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Valley of Decision,1945,Passed,01 Jun 1945,119 min,"Drama, Romance",Tay Garnett,"John Meehan, Sonya Levien, Marcia Davenport","Greer Garson, Gregory Peck, Donald Crisp","Mary Rafferty comes from a poor family of steel mill workers in 19th Century Pittsburgh. Her family objects when she goes to work as a maid for the wealthy Scott family which controls the mill. Mary catches the attention of handsome scion Paul Scott, but their romance is complicated by Paul's engagement to someone else and a bitter strike among the mill workers.",English,United States,Nominated for 2 Oscars. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYjFiMDcwMGYtOTljYy00OWU3LWI4MzQtYjZhYTY4NDg0ZjJhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"2,153",tt0038213,movie,28 May 2010,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eden,2014,R,18 Sep 2015,90 min,"Drama, Thriller",Shyam Madiraju,"Mark Mavrothalasitis, Nate Parker","Nate Parker, Grant Alan Ouzts, James Remar","After their plane crashes off the coast of a deserted Pacific island, the surviving members of an American soccer team find themselves in the most dire of circumstances with limited resources, dwindling food supply and no rescue coming any time soon. Team spirit evaporates as disagreements cause the group to separate into factions - a violent one lead by an unbalanced ruler (Peck), and a compassionate one led by a selfless player (Parker).",English,"Spain, United States, Malaysia",N/A,https://m.media-amazon.com/images/M/MV5BMTk1NTE5MTA5M15BMl5BanBnXkFtZTgwODY0NTc2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"3,138",tt3032282,movie,03 Nov 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicken Tikka Masala,2005,Not Rated,22 Apr 2005,90 min,"Comedy, Drama, Romance",Harmage Singh Kalirai,"Rony Ghosh, Roopesh Parekh, Sanjay Tandon","Chris Bisson, Saeed Jaffrey, Sally Bankes","Jimi, a doctor in Lancashire and the only son of loving Indian immigrants, is spineless. When his parents and grandmother arrange his marriage to a young woman from their home village, he hasn't the courage to tell them that he's already in love, with Jack, a man they think is his best friend. To queer the wedding, Jack's niece Hannah tells the bride-to-be that she's Jimi's daughter. Jimi's family swallows hard and decides to make the best of it by marrying Jimi to Hannah's mother, the blowzy, hard-drinking, foul-mouthed Vanessa. Jimi begs Vanessa to go through with it, so he can be with Jack. Is another resolution possible?","English, Hindi","United Kingdom, India",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTcxMjU0MjQzMl5BMl5BanBnXkFtZTcwMDcwNTIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,545,tt0449000,movie,04 Apr 2006,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elling,2001,R,16 Mar 2001,89 min,"Comedy, Drama",Petter Næss,"Ingvar Ambjørnsen, Axel Hellstenius, Larry Stuckey","Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen","When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and women-obsessed virgin in his 40s. After two years, the men are released and provided with a state-funded apartment and stipend with the hope they will be able to live on their own. Initially, the simple act of going around the corner for groceries is a challenge. Through a friendship born of desperate dependence, the skittish Elling and the boisterous, would-be lover of women, Kjell Bjarne, discover they can not only survive on the outside, they can thrive. But as their courage grows, the two find oddball ways to cope with society, striking up the most peculiar friendships in the most unlikely places.",Norwegian,Norway,Nominated for 1 Oscar. 14 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMzczMzg1NzM3Nl5BMl5BanBnXkFtZTYwNjQ5ODc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.5,"15,368",tt0279064,movie,19 Nov 2002,"$314,729",First Look,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mi America,2015,R,16 Oct 2015,90 min,"Crime, Drama",Robert Fontaine,Robert Fontaine,"Robert Fontaine, Michael Brainard, Grant Boyd","A hate-crime has been committed in a the small city of Braxton, N.Y. Five migrant laborers have been beaten, shot, then ditched. This will upset the delicate balance of an ethnically diverse populace.","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjQxNzc3MDE0OF5BMl5BanBnXkFtZTgwNjQwMTg3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.7,62,tt2460506,movie,17 Apr 2017,"$3,330",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containment,2015,TV-14,01 Aug 2015,77 min,"Horror, Sci-Fi, Thriller","Chris Carr, Roland Holmes, Neil Mcenery-West","David Lemon, Neil Mcenery-West, Antony Woodruffe","Lee Ross, Sheila Reid, Gabriel Senior","What happens when an epidemic breaks out, but you're kept in the dark? Anything can happen. Slowly the residents realize that they will all die unless they come together.",English,United Kingdom,8 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTQzNDEwOTk4N15BMl5BanBnXkFtZTgwNjA5Njk2NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,4.9,"3,205",tt3561236,movie,15 Mar 2016,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Timber,2015,Not Rated,27 Feb 2015,81 min,"Action, Adventure, Drama",Anthony O'Brien,"Steve Allrich, Anthony O'Brien, Colin Ossiander","James Ransone, Josh Peck, Elisa Lasowski","In the wild, snow covered gold fields of Alaska, two brothers embark on a journey to collect a bounty in a desperate attempt to save their home: but what they find along the way is more than they bargained for.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg5NjczMzA3Nl5BMl5BanBnXkFtZTgwODgyNjU1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,"1,503",tt2215673,movie,06 Oct 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,From Russia with Love,1963,PG,27 May 1964,115 min,"Action, Adventure, Thriller",Terence Young,"Richard Maibaum, Johanna Harwood, Ian Fleming","Sean Connery, Robert Shaw, Lotte Lenya","James Bond 007 is on the search for a Russian decoding machine, known as ""Lektor"". Bond needs to find this machine, before the evil S.P.E.C.T.R.E. organization discovers it. While being romantically linked with Russian girl, Tatiana Romanova, Bond sneaks his way around Istanbul, while each S.P.E.C.T.R.E. Agent tries to pick him off, including the over powering Donald ""Red"" Grant and ex K.G.B. Agent Rosa Klebb, who knows all of the tricks in the book, and even possesses an incredible poison tipped shoe.","English, Russian, Turkish, Romany, French, Italian","United Kingdom, United States",Won 1 BAFTA Award3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMDU5ZWMxZjctZWNjNi00OGYxLWI0MDEtZmJhYTJkMmEyMTIyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"138,280",tt0057076,movie,04 Apr 2006,"$24,796,765",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeper,1973,PG,17 Dec 1973,89 min,"Comedy, Sci-Fi",Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, John Beck","Miles, a nebbishy clarinet player who also runs a health food store in NYC's Greenwich Village, is cryogenically frozen, and brought back - 200 years in the future, by anti-government radicals in order to assist them in their attempt to overthrow the oppressive government. When he goes off on his own, he begins to explore this brave new world, which has Orgasmatron booths to replace sex and confessional robots.","English, Yiddish",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMGM3ZjM4ZTAtODBiNC00ZjcxLWJhYjctYzdlYTZjMzY4ZjE1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.1,"43,629",tt0070707,movie,05 Jul 2000,"$18,344,729","United Artists, Metro-Goldwyn-Mayer",N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,It Follows,2014,R,13 Mar 2015,100 min,"Horror, Mystery, Thriller",David Robert Mitchell,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi","For 19-year-old Jay, Autumn should be about school, boys, and weekends out at the lake. But after a seemingly innocent sexual encounter, she finds herself plagued by strange visions and the inescapable sense that someone, something, is following her. Faced with this burden, Jay and her friends must find a way to escape the horrors that seem to be only a few steps behind.",English,United States,26 wins & 44 nominations,https://m.media-amazon.com/images/M/MV5BMmU0MjBlYzYtZWY0MC00MjliLWI3ZmUtMzhlZDVjMWVmYWY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.8,"248,915",tt3235888,movie,14 Jul 2015,"$14,674,076",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Kill a Mockingbird,1962,Approved,16 Mar 1963,129 min,"Crime, Drama",Robert Mulligan,"Harper Lee, Horton Foote","Gregory Peck, John Megna, Frank Overton","Small-town Alabama, 1932. Atticus Finch (played by Gregory Peck) is a lawyer and a widower. He has two young children, Jem and Scout. Atticus Finch is currently defending Tom Robinson, a black man accused of raping a white woman. Meanwhile, Jem and Scout are intrigued by their neighbours, the Radleys, and the mysterious, seldom-seen Boo Radley in particular.",English,United States,Won 3 Oscars. 14 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.3,"320,193",tt0056592,movie,28 Apr 1998,"$592,237",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Road Warrior,1981,R,21 May 1982,96 min,"Action, Adventure, Sci-Fi",George Miller,"Terry Hayes, George Miller, Brian Hannant","Mel Gibson, Bruce Spence, Michael Preston","Wandering the deserted highways of an energy-starved dystopian Australia after eradicating the Night Rider's followers in Mad Max (1979), the former patrolman, Max Rockatansky, finds himself roaming the endless wasteland scavenging for food and precious petrol. Suddenly, in the scorched wilderness, the hungry for fuel Max chances upon a small oil refinery; however, the place is under siege by Lord Humungus' barbarian horde of biker warlords, hell-bent on destruction and mayhem. Now, to get his hands on as much gas as he can carry, ""Mad"" Max will have to provide the defenceless community with a powerful truck to transport the gasoline to safety; nevertheless, this is easier said than done. Is Max, the battle-scarred Road Warrior, up to the task?",English,Australia,8 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BN2VlNjNhZWQtMTY2OC00Y2E1LWJkNGUtMDU4M2ViNzliMGYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.6,"184,571",tt0082694,movie,22 Aug 1997,"$23,667,907",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Legend of Drunken Master,1994,R,20 Oct 2000,102 min,"Action, Comedy","Chia-Liang Liu, Jackie Chan","Edward Tang, Man-Ming Tong, Kai-Chi Yuen","Jackie Chan, Ho-Sung Pak, Lung Ti","Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong has learned a style of fighting called ""Drunken Boxing"", which makes him a dangerous person to cross. Unfortunately, his father is opposed to his engaging in any kind of fighting, let alone drunken boxing. Consequently, Fei-Hong not only has to fight against the foreigners, but he must overcome his father's antagonism as well.",Cantonese,Hong Kong,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZmRiZTZiMWEtZGVlNS00YzU1LTkxZjYtODNiMDEyYTIxYjA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.5,"47,160",tt0111512,movie,13 Mar 2001,"$11,555,430",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boys Don't Cry,1999,R,31 Mar 2000,118 min,"Biography, Crime, Drama",Kimberly Peirce,"Kimberly Peirce, Andy Bienen","Hilary Swank, Chloë Sevigny, Peter Sarsgaard","Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys, drinking, cussing, and bumper surfing, and he charms the young women, who've never met a more sensitive and considerate young man. Life is good for Brandon, now that he's one of the guys and dating hometown beauty Lana; however, he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes, but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery, Brandon's life is ripped apart.",English,United States,Won 1 Oscar. 50 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BZjljNjI3YzUtMDNlNS00MjE5LThhYzktODU4NjJkYzk0ZGY2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.5,"99,885",tt0171804,movie,18 Apr 2000,"$11,540,607",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lives of Others,2006,R,30 Mar 2007,137 min,"Drama, Mystery, Thriller",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch","Gerd Wiesler is an officer with the Stasi, the East German secret police. The film begins in 1984 when Wiesler attends a play written by Georg Dreyman, who is considered by many to be the ultimate example of the loyal citizen. Wiesler has a gut feeling that Dreyman can't be as ideal as he seems, and believes surveillance is called for. The Minister of Culture agrees but only later does Wiesler learn that the Minister sees Dreyman as a rival and lusts after his partner Christa-Maria. The more time he spends listening in on them, the more he comes to care about them. The once rigid Stasi officer begins to intervene in their lives, in a positive way, protecting them whenever possible. Eventually, Wiesler's activities catch up to him and while there is no proof of wrongdoing, he finds himself in menial jobs - until the unbelievable happens.",German,"Germany, France",Won 1 Oscar. 80 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.4,"393,402",tt0405094,movie,21 Aug 2007,"$11,286,112",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Courageous,2011,PG-13,30 Sep 2011,129 min,Drama,Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Alex Kendrick, Ken Bevel, Kevin Downes","Four men, one calling: To serve and protect. As law enforcement officers, they face danger every day. Yet when tragedy strikes close to home, these fathers are left wrestling with their hopes, their fears, and their faith. From this struggle will come a decision that changes all of their lives. With action, drama, and humor, the fourth film from Sherwood Pictures embraces God's promise to ""turn the hearts of fathers to their children, and the hearts of children to their fathers."" Souls will be stirred, and hearts will be challenged to be ... courageous!",English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZTJiZWE4NmYtYTA4MC00MjE5LTk1NTItYzg2YjU5YWNjNGNiXkEyXkFqcGdeQXVyMzI4NzU1MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.8,"21,008",tt1630036,movie,17 Jan 2012,"$35,027,076",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hustler,1961,Not Rated,25 Sep 1961,134 min,"Drama, Sport",Robert Rossen,"Sidney Carroll, Robert Rossen, Walter Tevis","Paul Newman, Jackie Gleason, Piper Laurie","""Fast"" Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary ""Minnesota Fats"" to a high-stakes match, but he loses in a heartbreaking marathon. Now broke and without his long-time manager, Felson faces an uphill battle to regain his confidence and his game. It isn't until he hits rock bottom that he agrees to join up with ruthless and cutthroat manager Bert Gordon. Gordon agrees to take him on the road to learn the ropes. But Felson soon realizes that making it to the top could cost him his soul, and perhaps his girlfriend. Will he decide that this is too steep a price to pay in time to save himself?",English,United States,Won 2 Oscars. 13 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNTAwNGNlYWEtNDJlOC00NTE5LWJjNmQtMjExZDU2NDUyZTFlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.0,"83,739",tt0054997,movie,04 Jun 2002,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boom Town,1940,Passed,30 Aug 1940,119 min,"Drama, Music, Romance",Jack Conway,"John Lee Mahin, James Edward Grant","Clark Gable, Spencer Tracy, Claudette Colbert","Buddies Big John McMasters and Square John Sand are fast-talking, wisecracking wildcatters who manage to con enough equipment and capital to develop their own oil fields, but their friendship is put to the test when Big John inadvertently falls in love with Elizabeth, Square John's longtime girlfriend. Eventually their friendship and partnership comes to an end on the flip of a coin. Years later, when Big John's interest in the beautiful Karen Vanmeer threatens his marriage too, Square John intervenes in an effort to save the marriage of his former friend - even if it means ruining him financially.",English,United States,Nominated for 2 Oscars. 2 nominations total,https://m.media-amazon.com/images/M/MV5BMmJhYTJlNGQtMTdkYi00OTA5LWE0NTktMmQ2MDgyMmJmNGQ4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"3,573",tt0032273,movie,20 Jun 2006,N/A,Metro-Goldwyn-Mayer,N/A,True,,
